Columna,Métrica,LSTM,Ingenuo (naive),Diferencia (LSTM - Naive)
open,MAE,0.04284176695488591,0.040949784521709554,0.0018919824331763563
open,MSE,0.002922942361823733,0.002943318802532918,-2.0376440709185192e-05
open,RMSE,0.05406424291362761,0.054252362183898666,-0.00018811927027105602
open,MAPE,5.01359888202892,4.848351741097874,0.1652471409310463
open,sMAPE,2.566419851454621,2.4596816896030003,0.10673816185162055
close,MAE,0.06786020354372778,0.033796917142555796,0.03406328640117198
close,MSE,0.005919990976594996,0.0021416067989032247,0.003778384177691771
close,RMSE,0.07694147760860195,0.046277497759745226,0.03066397984885673
close,MAPE,7.854354512832412,4.038326985373287,3.8160275274591253
close,sMAPE,4.0794950906163825,2.0585555351314926,2.02093955548489
low,MAE,0.05816319877155538,0.036481894971352666,0.021681303800202716
low,MSE,0.004776667420745807,0.002199161497605452,0.0025775059231403553
low,RMSE,0.06911343878541862,0.046895218280816775,0.022218220504601843
low,MAPE,6.814816435094448,4.466966032120082,2.347850402974366
low,sMAPE,3.5323914338877196,2.2760025567387916,1.256388877148928
high,MAE,0.05094761121847464,0.032821833847793816,0.018125777370680822
high,MSE,0.003925573287723672,0.0019859186688257137,0.0019396546188979583
high,RMSE,0.06265439559778445,0.04456364739140765,0.0180907482063768
high,MAPE,6.028143781528758,3.951816230820814,2.076327550707944
high,sMAPE,3.1116327078105632,2.012672364652602,1.098960343157961
